counter,value
481,60000.0
482,160.0
483,150.0
484,150.0
485,32000.0
486,170.0
487,43000.0
488,43000.0
489,150.0
490,60000.0
491,60000.0
492,60000.0
493,60000.0
494,170.0
495,150.0
496,150.0
497,180.0
498,59000.0
499,60000.0
500,60000.0
501,150.0
502,60000.0
503,60000.0
504,59000.0
505,59000.0
506,330.0
507,340.0
508,370.0
509,160.0
510,180.0
511,160.0
512,59000.0
513,33000.0
514,36000.0
515,36000.0
516,170.0
517,170.0
518,160.0
519,60000.0
520,60000.0
521,150.0
522,160.0
523,170.0
524,170.0
525,160.0
526,60000.0
527,60000.0
528,160.0
529,50000.0
530,50000.0
531,59000.0
532,60000.0
533,59000.0
534,370.0
535,320.0
536,260.0
537,290.0
538,330.0
539,340.0
540,340.0
541,330.0
542,350.0
543,380.0
544,60000.0
545,60000.0
546,150.0
547,160.0
548,150.0
549,30000.0
550,36000.0
551,36000.0
552,140.0
553,42000.0
554,41000.0
555,60000.0
556,60000.0
557,60000.0
558,170.0
559,160.0
560,160.0
561,160.0
562,170.0
563,60000.0
564,59000.0
565,150.0
566,150.0
567,60000.0
568,60000.0
569,60000.0
570,170.0
571,16000.0
572,16000.0
573,7800.0
574,32000.0
575,38000.0
576,410.0
577,210.0
578,210.0
579,55000.0
580,57000.0
581,59000.0
582,440.0
583,430.0
584,330.0
585,330.0
586,240.0
587,260.0
588,340.0
589,330.0
590,250.0
591,690.0
592,540.0
593,330.0
594,230.0
595,160.0
596,150.0
597,150.0
598,150.0
599,150.0
600,160.0
601,160.0
602,43000.0
603,43000.0
604,59000.0
605,150.0
606,60000.0
607,60000.0
608,160.0
609,160.0
610,150.0
611,26000.0
612,27000.0
613,32000.0
614,32000.0
615,17000.0
616,340.0
617,190.0
618,60000.0
619,60000.0
620,160.0
621,47000.0
622,47000.0
623,170.0
624,59000.0
625,170.0
626,150.0
627,48000.0
628,48000.0
629,170.0
630,60000.0
631,60000.0
632,60000.0
633,56000.0
634,47000.0
635,16000.0
636,200.0
637,200.0
638,340.0
639,350.0
640,200.0
641,240.0
642,60000.0
643,60000.0
644,60000.0
645,170.0
646,23000.0
647,170.0
648,150.0
649,150.0
650,150.0
651,47000.0
652,47000.0
653,58000.0
654,60000.0
655,60000.0
656,60000.0
657,24000.0
658,24000.0
659,150.0
660,150.0
661,150.0
662,46000.0
663,46000.0
664,43000.0
